的	〔白勹丶󰁶・rqyy〕
厉	〔厂一󰁡󰀏・dgqe〕
桃	〔木儿󰀪󰁶・sqiy〕
孟	〔子皿󰀘・blf〕
摄	〔扌耳又又・rbcc〕
阅	〔门丷口儿・uukq〕
涌	〔氵󰁻月丨・iceh〕
啥	〔口人干口・kwfk〕
妙	〔女小丿ノ・vitt〕
勾	〔勹厶󰀦・qci〕
讼	〔讠八厶󰁶・ywcy〕
橡	〔木⺈口󰀓・sqke〕
蚀	〔⺈󰁐虫󰁶・qnjy〕
蜡	〔虫󰁺日󰀝・jajg〕
抛	〔扌九力ノ・rvet〕
狠	〔犭ノ彐󰀖・qtve〕
熙	〔匚丨口灬・ahko〕
扭	〔扌󰁈丨二・rnhf〕
拨	〔扌ㄥ丿丶・rnty〕
蒋	〔艹丬夕寸・auqf〕
框	〔木匚王󰀝・sagg〕
冻	〔冫󰀂小󰁶・uaiy〕
亏	〔二ㄅ󰁫・fnv〕
嫩	〔女一口夂・vgkt〕
叙	〔人一木又・wgsc〕
剪	〔䒑月刂刀・uejv〕
曼	〔日罒又󰁧・jlcu〕
叛	〔丷󰀠⺁又・ugrc〕
杰	〔木灬󰁧・sou〕
劝	〔又力ノ・cet〕
叔	〔󰀥一小又・hgic〕
熔	〔火宀八口・opwk〕
饮	〔⺈󰁐⺈人・qnqw〕
仔	〔亻子󰀝・wbg〕
骗	〔󰀊󰀞丶艹・cgya〕
撞	〔扌立日土・rujf〕
桑	〔又又又木・cccs〕
屈	〔尸凵山󰀵・nbmk〕
棒	〔木三人󰀟・sdwg〕
赖	〔一口󰅇贝・gkim〕
刷	〔尸冂丨刂・nmhj〕
估	〔亻古󰀝・wdg〕
淀	〔氵宀一󰁾・ipgh〕
吏	〔一口乂󰀦・gkri〕
笼	〔⺮ヒ丶・tdxy〕
簧	〔⺮󰁺由八・tamw〕
扇	〔丶尸羽󰀌・ynnd〕
谱	〔讠䒑󰅊日・yuoj〕
酷	〔西一丿口・sgtk〕
衰	〔亠口一󰀔・ykge〕
棚	〔木月月󰀝・seeg〕
壤	〔土亠口󰀔・fyke〕
苯	〔艹木一󰀘・asgf〕
伪	〔亻丶丿丶・wyty〕
轰	〔车又又󰁧・lccu〕
侨	〔亻丿大󰀯・wtdj〕
牵	〔大冖丿󰀟・dptg〕
鼻	〔丿目田󰀯・thlj〕
叹	〔口又󰁶・kcy〕
骂	〔口口󰀊一・kkcg〕
骤	〔󰀊󰀞耳乑・cgbi〕
丧	〔十䒑󰀖󰁧・fueu〕
旺	〔日王󰀝・jgg〕
哩	〔口日土󰀝・kjfg〕
隙	〔阝小日小・biji〕
曹	〔一ㄇ󰁺日・gmaj〕
疾	〔疒𠂉大󰀦・utdi〕
吐	〔口土󰀝・kfg〕
册	〔󰀼󰀼一󰀌・mmgd〕
覆	〔覀彳𠂉夂・sttt〕
晋	〔一󰅊一日・gogj〕
扑	〔扌卜󰁶・rhy〕
御	〔彳󰅎止卩・trhb〕
搜	〔扌臼丨又・rehc〕
仗	〔亻󰂃󰁶・wdyy〕
昨	〔日𠂉丨二・jthf〕
舒	〔人干口亅・wfkh〕
株	〔木󰅎󰅇󰁶・sriy〕
嘛	〔口广木木・koss〕
欣	〔斤⺈人󰁶・rqwy〕
胀	〔月丿七󰂃・etay〕
砂	〔石小丿ノ・ditt〕
腔	〔月宀八工・epwa〕
偷	〔亻人一刂・wwgj〕
络	〔纟夂口󰀝・xtkg〕
顽	〔二儿丆贝・fqdm〕
涨	〔氵弓丿󰂃・ixty〕
甜	〔丿古艹二・tdaf〕
吊	〔口冂丨󰀬・kmhj〕
盗	〔冫⺈人皿・uqwl〕
杭	〔木亠几󰁀・sywn〕
尸	〔尸󰁈一丿・nngt〕
捉	〔扌口󰁾󰁶・rkhy〕
毅	〔立󰀓几又・uewc〕
迈	〔一󰁡辶󰀏・gqpe〕
脏	〔月广土󰀝・eofg〕
狱	〔犭ノ讠丶・qtyy〕
搭	〔扌艹人口・rawk〕
飘	〔覀二小乂・sfir〕
炎	〔火火󰁧・oou〕
瘦	〔疒臼丨又・uehc〕
浸	〔氵彐冖又・ivpc〕
硅	〔石土土󰀝・dffg〕
跨	〔口止大ㄅ・khdn〕
浇	〔氵弋丿儿・iatq〕
粘	〔米󰀥口󰀝・ohkg〕
雅	〔󰀂亅丿󰁷・ahty〕
昆	〔日󰁴匕󰀅・jxxb〕
槽	〔木一ㄇ日・sgmj〕
漆	〔氵木人氺・iswi〕
抑	〔扌󰁚卩󰀢・rqbh〕
悄	〔忄⺌月󰀝・nieg〕
蓄	〔艹亠ㄠ田・ayxl〕
锦	〔钅白冂丨・qrmh〕
歪	〔丆卜一止・dhgh〕
贷	〔亻󰀁丶贝・waym〕
烦	〔火丆贝󰁶・odmy〕
撒	〔扌󰁺月夂・raet〕
沸	〔氵弓󰀯󰀢・ixjh〕
闲	〔门木󰀦・usi〕
亭	〔亠口冖丁・ykps〕
肚	〔月土󰀝・efg〕
掘	〔扌尸凵山・rnbm〕
邀	〔白方夂辶・rytp〕
郎	〔丶彐厶阝・yvcb〕
浩	〔氵丿土口・itfk〕
燕	〔廿口丬灬・akuo〕
漂	〔氵覀二小・isfi〕
惩	〔彳一止心・tghn〕
妥	〔爫女󰀘・evf〕
傅	〔亻一月寸・wgef〕
牺	〔牜西󰀝・tsg〕
贪	〔人丶乛贝・wynm〕
迁	〔丿十辶󰀵・tfpk〕
渠	〔氵匚󰁃木・ians〕
丢	〔丿土厶󰁧・tfcu〕
鸭	〔甲勹丶一・lqyg〕
绒	〔纟戈ノ・xadt〕
钉	〔钅丁󰀢・qsh〕
滩	〔氵又亻󰁷・icwy〕
帐	〔冂丨丿󰂃・mhty〕
硝	〔石⺌月󰀝・dieg〕
耀	〔⺌一儿󰁷・igqy〕
膨	〔月士口彡・efke〕
邮	〔由阝󰀢・mbh〕
贤	〔〢又贝󰁧・jcmu〕
誉	〔󰀧一八言・igwy〕
瓷	〔冫⺈人丶・uqwy〕
欺	〔艹三八人・adww〕
丛	〔人人一󰀘・wwgf〕
抹	〔扌一木󰁶・rgsy〕
忧	〔忄乚丶・ndny〕
陪	〔阝立口󰀝・bukg〕
吾	〔五口󰀘・gkf〕
劣	〔小丿力󰁣・iter〕
惠	〔一日丨心・gjhn〕
钾	〔钅甲󰀢・qlh〕
焰	〔火⺈臼󰀝・oqeg〕
徽	〔彳山一夂・tmgt〕
堡	〔亻口木土・wksf〕
凶	〔乂凵󰀵・rbk〕
摘	〔扌亠丷古・ryud〕
闷	〔门心󰀦・uni〕
脆	〔月⺈厂⺋・eqdb〕
姚	〔女儿󰀪󰁶・vqiy〕
雕	〔󰀼土口󰁷・mfky〕
陵	〔阝土八夂・bfwt〕
董	〔艹丿一土・atgf〕
诺	〔讠艹口・yadk〕
泵	〔石水󰁧・diu〕
赴	〔土󰁾卜󰀦・fhhi〕
剑	〔人一󰀧刂・wgij〕
腊	〔月󰁺日󰀝・eajg〕
窝	〔宀八口人・pwkw〕
卢	〔󰀥尸󰁣・hnr〕
锻	〔钅亻三又・qwdc〕
罐	〔󰅎山艹󰁷・rmay〕
览	〔〢𠂉丶󰁜・jtyq〕
宴	〔宀日女󰀘・pjvf〕
昏	〔󰁚弋日󰀘・qajf〕
溪	〔氵爫ㄠ大・iexd〕
疯	〔疒几乂󰀦・uwri〕
逮	〔󰁬氺辶󰀦・vipi〕
裕	〔衤󰁧八口・puwk〕
盈	〔乃又皿󰀘・bclf〕
勘	〔艹三八力・adwe〕
缴	〔纟白方夂・xryt〕
穆	〔禾白小彡・trie〕
幻	〔ㄠ𠃌󰁀・xnn〕
锥	〔钅亻󰁷󰀝・qwyg〕
坑	〔土亠几󰁀・fywn〕
宿	〔宀亻丆日・pwdj〕
泼	〔氵ㄥ丿丶・inty〕
湘	〔氵木目󰀝・ishg〕
垄	〔ヒ丶土・dxyf〕
饰	〔⺈󰁐𠂉丨・qnth〕
驶	〔󰀊󰀞口乂・cgkr〕
煮	〔土丿日灬・ftjo〕
刮	〔丿古刂󰀢・tdjh〕
砍	〔石⺈人󰁶・dqwy〕
疏	〔乛止亠󰀸・nhyk〕
旱	〔日干󰀬・jfj〕
慌	〔忄艹亠󰀸・nayk〕
渗	〔氵厶大彡・icde〕
戈	〔戈一󰁒丶・agny〕
汪	〔氵王󰀝・igg〕
悟	〔忄五口󰀝・ngkg〕
昂	〔日󰁚卩󰀬・jqbj〕
桶	〔木󰁻月丨・sceh〕
颇	〔󰅌又丆贝・hcdm〕
骑	〔󰀊󰀞大口・cgdk〕
佳	〔亻土土󰀝・wffg〕
霍	〔󰀙亻󰁷󰀘・fwyf〕
旨	〔匕日󰀘・xjf〕
芯	〔艹心󰁧・anu〕
畅	〔日丨ㄋ󰁤・jhnr〕
旬	〔勹日󰀌・qjd〕
摊	〔扌又亻󰁷・rcwy〕
墙	〔土十䒑口・ffuk〕
敲	〔亠口冂又・ykmc〕
蔬	〔艹乛止󰀸・anhk〕
痕	〔疒彐󰀖󰀦・uvei〕
惨	〔忄厶大彡・ncde〕
钙	〔钅一󰀥ㄅ・qghn〕
尝	〔⺌冖二厶・ipfc〕
棱	〔木土八夂・sfwt〕
辨	〔立丶十・udyf〕
箭	〔⺮䒑月刂・tuej〕
躺	〔丿󰀽三口・tmdk〕
苍	〔艹人⺋󰀅・awbb〕
莱	〔艹一米󰁧・agou〕
债	〔亻主贝󰁶・wgmy〕
吞	〔一大口󰀘・gdkf〕
坝	〔土贝󰁶・fmy〕
卿	〔󰁚丿彐卩・qtvb〕
挡	〔扌⺌彐󰀝・rivg〕
柏	〔木白󰀝・srg〕
萧	〔艹󰁬󰅏󰀯・avij〕
颠	〔十󰀣八贝・fhwm〕
霉	〔󰀙𠂉母󰁧・ftxu〕
谊	〔讠宀󰀐一・ypeg〕
妨	〔女方ノ・vyt〕
黏	〔禾人氺口・twik〕
漠	〔氵艹日大・iajd〕
辆	〔车一冂人・lgmw〕
郊	〔亠八乂阝・ywrb〕
俩	〔亻一冂人・wgmw〕
彭	〔士口䒑彡・fkue〕
夕	〔夕丿乛丶・qtny〕
凌	〔冫土八夂・ufwt〕
宏	〔宀厶󰁧・pdcu〕
逻	〔罒夕辶󰀦・lqpi〕
淮	〔氵亻󰁷󰀝・iwyg〕
饥	〔⺈󰁐几󰁀・qnwn〕
熊	〔厶月匕灬・cexo〕
绅	〔纟日丨󰀢・xjhh〕
霞	〔󰀙󰁃丨又・fnhc〕
冶	〔冫厶口󰀝・uckg〕
垫	〔扌九丶土・rvyf〕
蓬	〔艹夂三辶・atdp〕
冯	〔冫󰀊一󰀝・ucgg〕
喂	〔口田一󰀖・klge〕
瞧	〔目亻󰁷灬・hwyo〕
玄	〔亠ㄠ󰁧・yxu〕
岂	〔山己󰀅・mnb〕
叠	〔又又又一・cccg〕
葡	〔艹勹一丶・aqgy〕
哀	〔亠口󰀔󰁧・ykeu〕
仙	〔亻山󰀢・wmh〕
吓	〔口一卜󰁶・kghy〕
棋	〔木艹三八・sadw〕
滨	〔氵宀󰅍八・iprw〕
丘	〔󰅍一󰀌・rgd〕
佩	〔亻几一丨・wwgh〕
寺	〔土寸󰁧・ffu〕
犹	〔犭ノ丶・qtdy〕
禄	〔礻󰁶󰁭氺・pyvi〕
驰	〔󰀊󰀞也󰁀・cgbn〕
莲	〔艹车辶󰁧・alpu〕
匹	〔匚儿󰁫・aqv〕
徙	〔彳止󰁾󰁶・thhy〕
诬	〔讠工人人・yaww〕
拾	〔扌人一口・rwgk〕
枯	〔木古󰀝・sdg〕
浑	〔氵冖车󰀢・iplh〕
颂	〔八厶丆贝・wcdm〕
驳	〔󰀊󰀞乂乂・cgrr〕
慰	〔尸二小心・nfin〕
诱	〔讠禾乃ノ・ytbt〕
勿	〔勹󰁤󰀏・qre〕
邰	〔厶口阝󰀢・ckbh〕
歇	〔日勹人人・jqww〕
阁	〔门夂口󰀌・utkd〕
嘉	〔士口䒑口・fkuk〕
沫	〔氵一木󰁶・igsy〕
拳	〔䒑大手󰀬・udrj〕
饼	〔⺈󰁐䒑廾・qnua〕
戚	〔厂󰀥一丶・dhgy〕
皱	〔⺈彐󰅌又・qvhc〕
掠	〔扌亠口小・ryki〕
塘	〔土广󰁬口・fovk〕
仇	〔亻九󰁀・wvn〕
锭	〔钅宀一󰁾・qpgh〕
竭	〔立日勹󰄃・ujqn〕
娃	〔女土土󰀝・vffg〕
冤	〔冖⺈口丶・pqky〕
凸	〔丨一丨一・hghg〕
拆	〔扌斤丶󰁶・rryy〕
曰	〔日丨󰁈一・jhng〕
掀	〔扌斤⺈人・rrqw〕
朴	〔木卜󰁶・shy〕
摧	〔扌山亻󰁷・rmwy〕
溜	〔氵󰁚丶田・iqyl〕
卸	〔󰅎止卩󰀢・rhbh〕
堵	〔土土丿日・fftj〕
筛	〔⺮リ一丨・tjgh〕
疲	〔疒󰅌又󰀦・uhci〕
栽	〔土木󰅅丶・fsxy〕
胎	〔月厶口󰀝・eckg〕
腹	〔月𠂉日夂・etjt〕
驾	〔力口󰀊一・ekcg〕
纬	〔纟二𠃌丨・xfnh〕
扯	〔扌止󰀝・rhg〕
颁	〔八刀丆贝・wvdm〕
饿	〔⺈󰁐丿丶・qnty〕
悠	〔亻丨夂心・whtn〕
祸	〔礻󰁶口人・pykw〕
慧	〔三丨三心・dhdn〕
舰	〔丿󰁪ㄇ󰁜・temq〕
姿	〔冫⺈人女・uqwv〕
恋	〔亠󰁗心󰁧・yonu〕
遂	〔䒑󰀓辶󰀦・uepi〕
卧	〔匚丨󰁃卜・ahnh〕
怨	〔夕⺋心󰁧・qbnu〕
醉	〔西一亠十・sgyf〕
廉	〔广䒑󰁬󰁗・ouvo〕
遣	〔口丨一辶・khgp〕
狭	〔犭ノ一大・qtgd〕
菲	〔艹丨三三・ahdd〕
犁	〔禾刂丿󰀟・tjtg〕
侯	〔亻󰁄𠂉大・wntd〕
羽	〔羽𠃌丶󰀞・nnyg〕
姻	〔女囗大󰁶・vldy〕
抖	〔扌󰁦十󰀢・rufh〕
契	〔三丨刀大・dhvd〕
萄	〔艹勹󰅎山・aqrm〕
阐	〔门丷󰅐󰀵・uulk〕
盲	〔亠󰄃目󰀘・ynhf〕
躲	〔丿󰀽三木・tmds〕
韦	〔二𠃌丨󰀵・fnhk〕
谐	〔讠󰁴匕白・yxxr〕
兆	〔儿󰀪󰀦・qii〕
舌	〔丿古󰀌・tdd〕
佐	〔亻工󰀝・wdag〕
屏	〔尸䒑廾󰀵・nuak〕
妄	〔亠󰄃女󰀘・ynvf〕
肠	〔月ㄋ󰁤ノ・enrt〕
酵	〔西一土子・sgfb〕
墓	〔艹日大土・ajdf〕
恒	〔忄一日一・ngjg〕
缸	〔󰅎山工󰀝・rmag〕
柄	〔木一冂人・sgmw〕
敦	〔亠口孑夂・ykbt〕
慎	〔忄十󰀣八・nfhw〕
堤	〔土日一󰁾・fjgh〕
逝	〔扌斤辶󰀵・rrpk〕
贼	〔贝戈ノ・madt〕
辖	〔车宀三口・lpdk〕
魂	〔二厶白厶・fcrc〕
押	〔扌甲󰀢・rlh〕
栏	〔木丷三󰀝・sudg〕
祟	〔凵山二小・bmfi〕
肖	〔⺌月󰀘・ief〕
茅	〔艹󰁻乛丿・acnt〕
捷	〔扌一󰁬󰁾・rgvh〕
捞	〔扌艹冖力・rape〕
艳	〔三丨⺈巴・dhqc〕
蜂	〔虫夂三丨・jtdh〕
逢	〔夂三丨辶・tdhp〕
罩	〔罒󰀥日十・lhjf〕
档	〔木⺌彐󰀝・sivg〕
兽	〔丷田一口・ulgk〕
辱	〔厂二󰀖寸・dfef〕
搅	〔扌󰀧冖󰁜・ripq〕
臭	〔丿目大丶・thdy〕
蔽	〔艹丷冂夂・aumt〕
铃	〔钅人丶󰁻・qwyc〕
乔	〔丿大󰀯󰀬・tdjj〕
雇	〔丶尸亻󰁷・ynwy〕
挽	〔扌⺈口󰁜・rqkq〕
芬	〔艹八刀󰁣・awvr〕
砌	〔石七刀ノ・davt〕
拌	〔扌丷󰀟󰀢・rugh〕
翠	〔羽亠人十・nywf〕
醇	〔西一亠子・sgyb〕
弥	〔弓⺈小󰁶・xqiy〕
嫂	〔女臼丨又・vehc〕
粹	〔米亠人十・oywf〕
披	〔扌󰅌又󰁶・rhcy〕
狼	〔犭ノ丶󰀖・qtye〕
窄	〔宀八𠂉二・pwtf〕
柜	〔木匚󰁃󰀝・sang〕
淋	〔氵木木󰁶・issy〕
晴	〔日主月󰀝・jgeg〕
拘	〔扌勹口󰀝・rqkg〕
寂	〔宀󰀥一又・phgc〕
滋	〔氵䒑ㄠㄠ・iuxx〕
鸦	〔󰀂亅丿一・ahtg〕
誓	〔扌斤言󰀘・rryf〕
咸	〔厂一口丶・dgky〕
茫	〔艹氵亠󰄃・aiyn〕
凑	〔冫三人大・udwd〕
芝	〔艹之󰁧・apu〕
餐	〔󰀥夕又󰀖・hqce〕
账	〔贝丿七󰂃・mtay〕
幽	〔山ㄠㄠ󰀦・mxxi〕
殿	〔尸󰁺八又・nawc〕
盒	〔人一口皿・wgkl〕
篡	〔⺮目大厶・thdc〕
萌	〔艹日月󰀘・ajef〕
挣	〔扌⺈󰁬亅・rqvh〕
畏	〔田一󰀖󰁧・lgeu〕
遥	〔爫󰅎山辶・ermp〕
颤	〔亠囗口贝・ylkm〕
酬	〔西一丶丨・sgyh〕
奸	〔女干󰀢・vfh〕
厌	〔厂大丶󰀦・ddyi〕
洒	〔氵西󰀝・isg〕
垦	〔彐󰀖土󰀘・veff〕
赔	〔贝立口󰀝・mukg〕
挨	〔扌厶𠂉大・rctd〕
抄	〔扌小丿ノ・ritt〕
缔	〔纟亠丷丨・xyuh〕
峡	〔山一丷大・mgud〕
芦	〔艹丶尸󰁣・aynr〕
倘	〔亻⺌冂口・wimk〕
坯	〔土丆卜一・fdhg〕
履	〔尸彳𠂉夂・nttt〕
巾	〔冂丨󰀵・mhk〕
宙	〔宀由󰀘・pmf〕
劫	〔土厶力ノ・fcet〕
酿	〔西一丶󰀖・sgye〕
矣	〔厶𠂉大󰁧・ctdu〕
闯	〔门󰀊一󰀌・ucgd〕
晃	〔日⺌一儿・jigq〕
帜	〔冂丨口八・mhkw〕
捐	〔扌口月󰀝・rkeg〕
矮	〔𠂉大禾女・tdtv〕
澳	〔氵丿ㄇ大・itmd〕
愁	〔禾火心󰁧・tonu〕
窃	〔宀八七刀・pwav〕
烘	〔火󰁺八󰁶・oawy〕
昭	〔日刀口󰀝・jvkg〕
奈	〔大二小󰁧・dfiu〕
滥	〔氵〢𠂉皿・ijtl〕
戒	〔戈廾󰀵・aak〕
丑	〔󰁈丨二󰀌・nhfd〕
蔡	〔艹󰁯二小・awfi〕
遮	〔广廿灬辶・oaop〕
肺	〔月一冂丨・egmh〕
喀	〔口宀夂口・kptk〕
膀	〔月亠丷方・eyuy〕
夸	〔大二ㄅ󰀅・dfnb〕
馏	〔⺈󰁐󰁚田・qnql〕
俱	〔亻󰀣八󰁶・whwy〕
澄	〔氵癶一䒑・iwgu〕
窑	〔宀八󰅎山・pwrm〕
稼	〔禾宀一󰀓・tpge〕
仆	〔亻卜󰁶・why〕
壶	〔士冖󰅊一・fpog〕
蔑	〔艹罒厂丶・aldy〕
裤	〔衤󰁧广车・puol〕
渣	〔氵木日一・isjg〕
姜	〔丷王女󰀘・ugvf〕
媳	〔女丿目心・vthn〕
爽	〔大乂乂乂・drrr〕
岌	〔山乃󰂃󰁧・mbyu〕
绵	〔纟白冂丨・xrmh〕
纶	〔纟人匕󰁀・xwxn〕
饶	〔⺈󰁐弋儿・qnaq〕
竖	〔〢又立󰀘・jcuf〕
椅	〔木大丁口・sdsk〕
捧	〔扌三人󰀟・rdwg〕
吕	〔口口󰀘・kkf〕
纽	〔纟󰁈丨二・xnhf〕
拚	〔扌厶廾󰀢・rcah〕
殷	〔⺁彐𠃌又・rvnc〕
鼠	〔臼󰁐󰁦󰁒・enun〕
卑	〔白丿十󰀬・rtfj〕
涛	〔氵三丿寸・idtf〕
郁	〔月阝󰀢・debh〕
汁	〔氵十󰀢・ifh〕
闽	〔门虫󰀦・uji〕
焊	〔火日干󰀢・ojfh〕
孝	〔土丿子󰀘・ftbf〕
颈	〔ス工丆贝・cadm〕
茂	〔艹厂󰅅丶・adxy〕
舆	〔󰀗车一八・elgw〕
唤	〔口⺈ㄇ大・kqmd〕
肌	〔月几󰁀・ewn〕
址	〔土止󰀝・fhg〕
掏	〔扌勹󰅎山・rqrm〕
伞	〔人丷十󰀬・wufj〕
鞭	〔廿口十乂・akfr〕
缚	〔纟一󰀐寸・xgef〕
撑	〔扌⺌冖手・ripr〕
杠	〔木工󰀝・sag〕
鼎	〔目󰁕丆󰁈・hndn〕
谴	〔讠口丨辶・ykhp〕
涤	〔氵夂木󰁶・itsy〕
询	〔讠勹日󰀝・yqjg〕
哨	〔口⺌月󰀝・kieg〕
帅	〔リ冂丨󰀢・jmhh〕
宅	〔宀丿七󰀅・ptab〕
堪	〔土艹三󰄃・fadn〕
韧	〔二𠃌丨丶・fnhy〕
拦	〔扌丷三󰀝・rudg〕
眠	〔目󰁃󰁐弋・hnan〕
麟	〔广󰁃〢丨・onjh〕
碑	〔石白丿十・drtf〕
缠	〔纟广日土・xojf〕
巷	〔󰁺八巳󰀅・awnb〕
趁	〔土󰁾人彡・fhwe〕
秧	〔禾ㄇ大󰁶・tmdy〕
猜	〔犭ノ主月・qtge〕
欠	〔⺈人󰁧・qwu〕
坛	〔土二厶󰁶・ffcy〕
茎	〔艹ス工󰀘・acaf〕
晒	〔日西󰀝・jsg〕
榜	〔木亠丷方・syuy〕
炳	〔火一冂人・ogmw〕
挫	〔扌人人土・rwwf〕
跌	〔口止󰅎人・khrw〕
糟	〔米一ㄇ日・ogmj〕
攀	〔木乂乂手・srrr〕
酯	〔西一匕日・sgxj〕
慨	〔忄彐厶󰁜・nvcq〕
携	〔扌亻󰁷乃・rwyb〕
鄂	〔口口二阝・kkfb〕
氛	〔󰅎⺄八刀・rnwv〕
霜	〔󰀙木目󰀘・fshf〕
棍	〔木日󰁴匕・sjxx〕
锤	〔钅丿十一・qtfg〕
沾	〔氵󰀥口󰀝・ihkg〕
侍	〔亻土寸󰁶・wffy〕
斑	〔王文王󰀝・gygg〕
豫	〔󰁻乛亅󰀓・cnhe〕
辊	〔车日󰁴匕・ljxx〕
崩	〔山月月󰀘・meef〕
萍	〔艹氵一十・aigf〕
儒	〔亻󰀙丆〢・wfdj〕
蓉	〔艹宀八口・apwk〕
谬	〔讠羽人彡・ynwe〕
惟	〔忄亻󰁷󰀝・nwyg〕
浊	〔氵虫󰁶・ijy〕
吵	〔口小丿ノ・kitt〕
揉	〔扌󰁻乛木・rcns〕
蛮	〔亠󰁗虫󰁧・yoju〕
瞬	〔目爫冖丨・heph〕
叉	〔又丶󰀦・cyi〕
缆	〔纟〢𠂉󰁜・xjtq〕
荐	〔艹丨子・adhb〕
哎	〔口艹乂󰁶・kary〕
溉	〔氵彐厶󰁜・ivcq〕
悦	〔忄丷口儿・nukq〕
朽	〔木一ㄅ󰁀・sgnn〕
赠	〔贝丷󰀺日・mulj〕
郡	〔󰁬丿口阝・vtkb〕
踪	〔口止宀小・khpi〕
泄	〔氵廿󰄃󰁀・iann〕
疼	〔疒夂󰁦󰀦・utui〕
剖	〔立口刂󰀢・ukjh〕
苹	〔艹一丷十・aguf〕
锌	〔钅立十󰀢・qufh〕
耶	〔耳阝󰀢・bbh〕
妃	〔女己󰁀・vnn〕
迪	〔由辶󰀌・mpd〕
孳	〔䒑ㄠㄠ子・uxxb〕
睁	〔目⺈󰁬亅・hqvh〕
亥	〔亠ㄥ丿人・yntw〕
弊	〔丷冂󰅏廾・umia〕
匠	〔匚斤󰀵・ark〕
桐	〔木冂一口・smgk〕
嫌	〔女䒑󰁬󰁗・vuvo〕
岳	〔󰅍一山󰀬・rgmj〕
乾	〔十日十乙・fjfn〕
酚	〔西一八刀・sgwv〕
穴	〔宀八󰁧・pwu〕
嫁	〔女宀一󰀓・vpge〕
烤	〔火土丿ㄅ・oftn〕
玲	〔王人丶󰁻・gwyc〕
捣	〔扌勹丶山・rqym〕
甫	〔一月丨丶・gehy〕
邵	〔刀口阝󰀢・vkbh〕
潭	〔氵覀日十・isjf〕
慕	〔艹日大⺗・ajdn〕
炒	〔火小丿ノ・oitt〕
浒	〔氵讠𠂉十・iytf〕
畴	〔田三丿寸・ldtf〕
匪	〔匚丨三三・ahdd〕
撕	〔扌艹三斤・radr〕
嚷	〔口亠口󰀔・kyke〕
溢	〔氵䒑八皿・iuwl〕
顷	〔󰁴丆贝󰁶・xdmy〕
聪	〔耳丷口心・bukn〕
翁	〔八厶羽󰀘・wcnf〕
沃	〔氵丿大󰁶・itdy〕
谦	〔讠䒑󰁬󰁗・yuvo〕
晰	〔日木斤󰀢・jsrh〕
甸	〔勹田󰀌・qld〕
歧	〔止十又󰁶・hfcy〕
诊	〔讠人彡ノ・ywet〕
祁	〔礻󰁶阝󰀢・pybh〕
咨	〔冫⺈人口・uqwk〕
潘	〔氵丿米田・itol〕
谭	〔讠覀日十・ysjf〕
礁	〔石亻󰁷灬・dwyo〕
弓	〔弓󰁈一ㄅ・xngn〕
屠	〔尸土丿日・nftj〕
酶	〔西一𠂉母・sgtx〕
枢	〔木匚乂󰁶・sary〕
吟	〔口人丶乛・kwyn〕
喉	〔口亻󰁄大・kwnd〕
浴	〔氵八人口・iwwk〕
颖	〔匕禾丆贝・xtdm〕
症	〔疒一止󰀌・ughd〕
衬	〔衤󰁧寸󰁶・pufy〕
溃	〔氵口丨贝・ikhm〕
崖	〔山厂土土・mdff〕
勉	〔⺈口󰁜力・qkqe〕
卓	〔󰀥日十󰀬・hjfj〕
琼	〔王亠口小・gyki〕
迭	〔󰅎人辶󰀦・rwpi〕
婴	〔贝贝女󰀘・mmvf〕
沪	〔氵丶尸ノ・iynt〕
氟	〔󰅎⺄弓󰀯・rnxj〕
绞	〔纟亠八乂・xywr〕
挪	〔扌𠃌󰀠阝・rngb〕
辣	〔立一󰅇・udgi〕
仑	〔人匕󰀅・wxb〕
庞	〔广ヒ丶・odxy〕
诞	〔讠丿止廴・ythp〕
吁	〔口一󰀛󰀢・kgfh〕
醋	〔西一󰁺日・sgaj〕
浦	〔氵一月丶・igey〕
菱	〔艹土八夂・afwt〕
耻	〔耳止󰀝・bhg〕
俘	〔亻爫子󰀝・webg〕
谣	〔讠爫󰅎山・yerm〕
篮	〔⺮〢𠂉皿・tjtl〕
廊	〔广丶彐阝・oyvb〕
惧	〔忄󰀣八󰁶・nhwy〕
蹲	〔口止丷寸・khuf〕
盼	〔目八刀ノ・hwvt〕
赐	〔贝日勹󰁤・mjqr〕
挠	〔扌弋丿儿・ratq〕
陡	〔阝土󰁾󰁶・bfhy〕
棵	〔木日木󰁶・sjsy〕
翅	〔十又羽󰀌・fcnd〕
峻	〔山厶八夂・mcwt〕
俺	〔亻大日乚・wdjn〕
厨	〔厂一口寸・dgkf〕
翔	〔䒑󰀠羽󰀝・ugng〕
赢	〔亠󰄃口丶・ynky〕
愚	〔日冂丨心・jmhn〕
拓	〔扌石󰀝・rdg〕
惑	〔戈口󰀞心・akgn〕
绸	〔纟󰀼土口・xmfk〕
杏	〔木口󰀘・skf〕
咽	〔口囗大󰁶・kldy〕
扮	〔扌八刀ノ・rwvt〕
蒲	〔艹氵一丶・aigy〕
绣	〔纟禾乃ノ・xtbt〕
唉	〔口厶𠂉大・kctd〕
梳	〔木亠厶󰀸・syck〕
逸	〔⺈口󰁜辶・qkqp〕
菊	〔艹勹米󰁧・aqou〕
艾	〔艹乂󰁧・aru〕
铲	〔钅立丿ノ・qutt〕
膏	〔亠口冖月・ykpe〕
